                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4425,                0.82998,                 1.1186,                 1.6651,                0.93559,                  1.073,                0.86851,                 0.8649,                0.92425,                0.52086,                 1.4871,                 0.7404,                 1.0576,                  1.538,                0.68448,                 1.0085,              0.0013545,              0.0013545,              0.0013545
                     25,                 1.4591,                0.84112,                 1.1252,                 1.6864,                0.94951,                 1.0746,                0.87602,                0.86467,                0.93361,                0.52111,                 1.4574,                0.72822,                 1.0468,                 1.5135,                0.66562,                 1.0045,              0.0013477,              0.0013477,              0.0013477
                     26,                 1.4439,                0.81959,                 1.1125,                 1.6836,                0.91099,                 1.0642,                0.85188,                0.88185,                0.92617,                0.52998,                 1.4167,                 0.7619,                 1.0515,                 1.4907,                0.70191,                 1.0062,              0.0013406,              0.0013406,              0.0013406
                     27,                 1.4153,                0.79609,                 1.1015,                 1.6562,                0.89007,                 1.0573,                0.85677,                0.86295,                0.91834,                0.55833,                 1.2905,                0.70154,                 1.0156,                 1.3914,                0.66902,                0.98348,              0.0013333,              0.0013333,              0.0013333
                     28,                 1.4296,                0.81646,                 1.1067,                 1.6819,                0.92443,                 1.0605,                0.85849,                0.87868,                0.92104,                0.54757,                 1.3159,                0.70765,                 1.0348,                 1.3959,                0.68884,                0.99528,              0.0013257,              0.0013257,              0.0013257
                     29,                 1.4062,                0.78878,                 1.0991,                 1.6354,                0.89983,                 1.0559,                0.87782,                0.88868,                0.93608,                0.52421,                 1.4837,                 0.7235,                 1.0645,                 1.5092,                0.63872,                 1.0123,              0.0013178,              0.0013178,              0.0013178
                     30,                 1.4152,                0.80378,                 1.1079,                 1.6577,                0.91497,                 1.0626,                0.88419,                0.86505,                0.92937,                0.54382,                 1.3905,                0.70727,                 1.0344,                 1.4709,                0.64282,                0.99777,              0.0013096,              0.0013096,              0.0013096
                     31,                 1.4008,                 0.7929,                 1.1007,                 1.6358,                0.88264,                 1.0567,                0.85364,                0.88519,                0.92992,                0.55657,                 1.3348,                0.69039,                 1.0324,                  1.419,                 0.6462,                 0.9962,              0.0013012,              0.0013012,              0.0013012
                     32,                 1.4194,                0.79777,                 1.1059,                 1.6592,                0.89692,                  1.064,                0.87599,                0.88638,                 0.9398,                0.56532,                 1.3221,                0.67891,                 1.0115,                 1.4152,                0.62486,                0.97759,              0.0012926,              0.0012926,              0.0012926
                     33,                 1.4198,                0.79604,                 1.1013,                 1.6476,                0.88157,                 1.0596,                0.88903,                0.88015,                0.93665,                0.55236,                  1.392,                0.69256,                 1.0291,                 1.4442,                0.63444,                0.98653,              0.0012836,              0.0012836,              0.0012836
                     34,                 1.3991,                0.77883,                   1.09,                 1.6376,                0.86088,                 1.0453,                0.84914,                0.90958,                 0.9354,                0.55947,                 1.3176,                0.67535,                 1.0231,                  1.432,                0.66009,                0.99298,              0.0012745,              0.0012745,              0.0012745
                     35,                 1.3885,                0.76932,                 1.0944,                 1.6331,                0.85253,                 1.0509,                0.88265,                0.86607,                0.92982,                0.55384,                 1.3213,                0.68592,                 1.0173,                 1.4204,                0.63531,                0.98474,               0.001265,               0.001265,               0.001265
                     36,                 1.4127,                0.79187,                  1.102,                 1.6431,                0.88827,                 1.0611,                0.87734,                0.87881,                0.94294,                0.55845,                 1.3262,                0.68881,                 1.0099,                   1.42,                 0.6137,                0.98109,              0.0012554,              0.0012554,              0.0012554
                     37,                 1.3957,                0.78075,                 1.0903,                 1.6387,                0.87957,                 1.0481,                0.87931,                 0.9003,                0.93879,                0.54347,                 1.4051,                0.68926,                  1.034,                 1.4567,                0.61563,                0.98852,              0.0012455,              0.0012455,              0.0012455
                     38,                 1.4076,                0.78616,                 1.1013,                 1.6348,                0.86145,                 1.0549,                0.86533,                0.87369,                0.92566,                 0.5268,                 1.3944,                0.69719,                 1.0293,                 1.4951,                0.67193,                  0.997,              0.0012354,              0.0012354,              0.0012354
                     39,                 1.4003,                0.77275,                 1.0985,                 1.6394,                0.85427,                 1.0568,                0.88057,                 0.8841,                0.93442,                0.54406,                 1.3793,                0.70112,                 1.0221,                 1.4665,                0.65798,                0.98583,               0.001225,               0.001225,               0.001225
                     40,                 1.3989,                0.78505,                 1.0975,                 1.6306,                0.86454,                 1.0563,                0.89347,                 0.8829,                0.94288,                0.56203,                 1.3462,                0.68168,                 1.0235,                 1.4238,                0.61293,                0.98089,              0.0012144,              0.0012144,              0.0012144
                     41,                 1.3931,                0.77053,                 1.0962,                 1.6203,                0.86295,                 1.0531,                0.86798,                0.89065,                0.93213,                0.54566,                    1.4,                0.70136,                  1.044,                  1.467,                0.64015,                0.99774,              0.0012036,              0.0012036,              0.0012036
                     42,                 1.3763,                0.76192,                 1.0838,                 1.6091,                0.85123,                 1.0378,                0.85913,                0.88645,                0.93704,                0.55032,                 1.3848,                0.70758,                 1.0391,                 1.4557,                 0.6401,                0.99556,              0.0011926,              0.0011926,              0.0011926
                     43,                 1.3843,                0.77942,                 1.0949,                 1.6138,                 0.8705,                  1.055,                0.87308,                0.87804,                0.93688,                0.55535,                 1.3896,                0.70974,                 1.0347,                 1.4356,                 0.6541,                0.98284,              0.0011814,              0.0011814,              0.0011814
                     44,                 1.3941,                0.76855,                 1.0927,                 1.6277,                0.84929,                   1.05,                 0.8736,                0.86488,                0.93288,                0.53026,                 1.4506,                0.71546,                 1.0445,                 1.4907,                 0.6328,                 0.9967,                0.00117,                0.00117,                0.00117
                     45,                  1.387,                0.76793,                 1.0972,                 1.6264,                0.84925,                  1.056,                0.85893,                0.90326,                0.93598,                 0.5819,                 1.2424,                 0.6829,                  1.003,                 1.3334,                0.63536,                0.97044,              0.0011583,              0.0011583,              0.0011583
                     46,                 1.3878,                0.75885,                 1.0865,                 1.6162,                0.84948,                 1.0438,                0.87066,                0.88001,                0.93651,                0.53765,                 1.4006,                0.70371,                 1.0352,                 1.5019,                0.65033,                 1.0064,              0.0011465,              0.0011465,              0.0011465
                     47,                 1.3717,                0.75693,                 1.0872,                 1.6055,                0.84091,                 1.0481,                0.88963,                0.87408,                0.93662,                0.56904,                 1.3428,                 0.7035,                 1.0219,                 1.4004,                0.65928,                0.97867,              0.0011345,              0.0011345,              0.0011345
                     48,                 1.3792,                0.75483,                  1.089,                 1.6208,                0.85355,                 1.0464,                0.88739,                0.88102,                0.93667,                0.54035,                 1.4111,                0.68269,                 1.0423,                 1.4957,                0.63195,                 1.0056,              0.0011223,              0.0011223,              0.0011223
                     49,                 1.3621,                0.74365,                 1.0761,                 1.6068,                0.83317,                  1.035,                0.87821,                0.89078,                0.93954,                0.57906,                 1.2839,                0.66637,                 1.0072,                 1.3721,                0.60788,                0.97198,              0.0011099,              0.0011099,              0.0011099
                     50,                 1.3702,                0.76442,                 1.0927,                 1.6068,                0.85396,                 1.0518,                0.89597,                0.88257,                0.94323,                0.56588,                 1.3336,                0.68037,                  1.025,                 1.4228,                0.60592,                 0.9873,              0.0010974,              0.0010974,              0.0010974
                     51,                 1.3475,                0.73924,                 1.0756,                 1.5791,                0.82407,                 1.0375,                0.87561,                0.89005,                0.94071,                0.53524,                 1.4316,                0.70634,                 1.0493,                 1.5089,                0.63367,                 1.0018,              0.0010847,              0.0010847,              0.0010847
                     52,                 1.3484,                0.73619,                 1.0758,                   1.58,                0.81151,                 1.0375,                0.85919,                0.88573,                0.93393,                0.55372,                 1.3579,                0.68685,                 1.0284,                 1.4395,                0.62658,                0.98796,              0.0010718,              0.0010718,              0.0010718
                     53,                 1.3608,                0.75151,                 1.0832,                 1.5992,                  0.839,                 1.0447,                0.87737,                0.88002,                0.93435,                0.55956,                 1.3086,                0.67911,                 1.0094,                  1.418,                0.63904,                0.97636,              0.0010588,              0.0010588,              0.0010588
                     54,                 1.3828,                 0.7533,                 1.0916,                  1.607,                0.82707,                 1.0472,                0.89988,                0.88556,                0.94256,                0.59235,                 1.2303,                 0.6458,                 1.0029,                 1.3327,                0.59709,                0.97077,              0.0010456,              0.0010456,              0.0010456
                     55,                 1.3434,                0.73534,                 1.0713,                 1.5901,                0.80897,                 1.0315,                0.88765,                0.87621,                0.94463,                0.52762,                 1.4631,                0.68924,                 1.0484,                 1.5318,                0.61659,                 1.0072,              0.0010322,              0.0010322,              0.0010322
                     56,                 1.3604,                0.74976,                  1.077,                 1.6017,                0.83585,                 1.0339,                0.88044,                0.89436,                0.94786,                0.59159,                 1.2468,                0.64395,                0.99754,                 1.3445,                 0.5855,                 0.9663,              0.0010188,              0.0010188,              0.0010188
                     57,                 1.3505,                0.74127,                 1.0801,                 1.5879,                0.82768,                 1.0465,                0.87769,                0.90404,                0.94825,                0.52698,                 1.4786,                0.67634,                 1.0575,                 1.5452,                0.60655,                 1.0141,              0.0010052,              0.0010052,              0.0010052
                     58,                 1.3647,                0.74481,                 1.0831,                 1.6006,                0.85072,                 1.0369,                0.87134,                0.88406,                0.94081,                0.58609,                 1.2621,                0.64482,                 1.0012,                 1.3496,                0.59201,                0.96761,             0.00099142,             0.00099142,             0.00099142
                     59,                 1.3555,                0.74438,                 1.0791,                 1.5949,                0.82661,                 1.0364,                0.90202,                0.87166,                0.94623,                0.56524,                 1.3412,                0.66623,                 1.0239,                 1.4144,                0.59447,                0.98486,             0.00097757,             0.00097757,             0.00097757
                     60,                 1.3479,                0.73545,                 1.0761,                 1.5858,                0.82717,                 1.0336,                0.88007,                0.88049,                0.93879,                0.55814,                 1.3164,                0.67011,                 1.0182,                  1.433,                0.61494,                0.98768,              0.0009636,              0.0009636,              0.0009636
                     61,                  1.344,                0.72998,                 1.0754,                 1.5812,                0.80102,                 1.0345,                 0.8571,                0.89076,                0.93057,                 0.5158,                 1.4421,                0.70083,                   1.05,                  1.549,                0.64566,                 1.0154,             0.00094952,             0.00094952,             0.00094952
                     62,                  1.318,                0.72267,                 1.0672,                 1.5539,                0.79032,                 1.0228,                0.86866,                0.89588,                 0.9394,                0.57032,                 1.3042,                0.65463,                 1.0124,                 1.3975,                0.60875,                0.98234,             0.00093534,             0.00093534,             0.00093534
                     63,                 1.3658,                0.72369,                 1.0779,                 1.5996,                0.78898,                  1.037,                0.88675,                0.88121,                0.93765,                0.50968,                 1.4982,                0.69675,                  1.072,                 1.5881,                 0.6358,                 1.0385,             0.00092106,             0.00092106,             0.00092106
                     64,                 1.3534,                0.74692,                 1.0807,                 1.5898,                0.82773,                 1.0409,                0.89636,                0.89768,                0.94724,                0.58343,                 1.2723,                 0.6516,                 1.0032,                 1.3734,                0.57954,                0.97519,              0.0009067,              0.0009067,              0.0009067
                     65,                 1.3368,                0.71844,                 1.0663,                 1.5689,                0.78833,                 1.0262,                0.88535,                0.88616,                0.94589,                0.59211,                 1.2726,                0.65131,                 1.0034,                 1.3446,                 0.5873,                0.96621,             0.00089224,             0.00089224,             0.00089224
                     66,                 1.3125,                0.70819,                  1.055,                 1.5541,                0.78274,                 1.0182,                0.88172,                0.90105,                0.94673,                0.58777,                 1.2602,                0.64216,                   1.01,                 1.3574,                 0.5777,                0.97972,             0.00087771,             0.00087771,             0.00087771
